manager,name_kr,name_en,price,read_confidence
병욱,웸비,Victor Wembanyama,87,high
준희,요키치,Nikola Jokic,86,high
진빈,돈치치,Luka Doncic,77,high
경찬,아테토쿰보,Giannis Antetokounmpo,76,high
정명,SGA,Shai Gilgeous-Alexander,74,high
단열,KAT,Karl-Anthony Towns,66,high
철웅,앤트,Anthony Edwards,62,high
수현,사보니스,Domantas Sabonis,61,high
지원,커닝햄,Cade Cunningham,60,high
지원,센군,Alperen Sengun,60,high
원준,트레영,Trae Young,56,high
원준,반케로,Paolo Banchero,52,high
두현,부커,Devin Booker,50,high
수현,AD,Anthony Davis,48,high
두현,모블리,Evan Mobley,43,high
진빈,제존,Jalen Johnson,42,med
단열,제이덥,Jalen Williams,41,high
진빈,맥시,Tyrese Maxey,40,high
윤범,반즈,Scottie Barnes,38,high
경찬,기디,Josh Giddey,37,high
단열,팍스,De'Aaron Fox,36,high
철웅,주바치,Ivica Zubac,35,high
지원,홈그렌,Chet Holmgren,35,high
준희,커리,Stephen Curry,35,high
윤범,하든,James Harden,33,high
정명,KD,Kevin Durant,33,high
병욱,다이슨,Dyson Daniels,32,high
윤범,르브론,LeBron James,31,high
윤범,아멘 탐슨,Amen Thompson,31,high
경찬,아브디야,Deni Avdija,30,high
준희,아데바요,Bam Adebayo,29,high
수현,미첼,Donovan Mitchell,27,high
병욱,브라운,Jaylen Brown,25,high
수현,바그너,Franz Wagner,24,high
단열,자잭주,Jaren Jackson Jr.,24,med
철웅,플래그,Cooper Flagg,23,high
두현,시아캄,Pascal Siakam,23,high
정명,하트,Josh Hart,23,high
경찬,마카넨,Lauri Markkanen,23,high
원준,앨런,Jarrett Allen,22,high
두현,브런슨,Jalen Brunson,21,high
정명,부세비치,Nikola Vucevic,21,high
윤범,화이트,Derrick White,20,high
수현,머레이,Jamal Murray,20,high
진빈,라멜로 볼,LaMelo Ball,20,high
지원,카와이,Kawhi Leonard,20,high
준희,미칼,Mikal Bridges,20,high
원준,버들러,Jimmy Butler III,16,high
정명,베인,Desmond Bane,16,high
철웅,모란트,Ja Morant,14,high
철웅,잭 라빈,Zach LaVine,14,high
두현,코비 화이트,Coby White,14,high
두현,그라임스,Quentin Grimes,14,high
윤범,막윌,Mark Williams,13,med
두현,크. 브라운,Christian Braun,13,med
원준,케슬러,Walker Kessler,13,high
정명,리브스,Austin Reaves,13,high
병욱,아누노비,OG Anunoby,13,high
병욱,밴블릿,Fred VanVleet,13,high
원준,넴하드,Andrew Nembhard,12,high
윤범,터너,Myles Turner,11,high
윤범,어사르,Ausar Thompson,11,high
철웅,자이언,Zion Williamson,11,high
철웅,트머삼,Trey Murphy III,11,med
지원,갈랜드,Darius Garland,11,high
철웅,하텐슈타인,Isaiah Hartenstein,10,high
철웅,마포주,Michael Porter Jr.,10,med
두현,캠 토마스,Cam Thomas,10,high
단열,듀렌,Jalen Duren,10,high
경찬,랜들,Julius Randle,10,high
병욱,드로잔,DeMar DeRozan,9,high
경찬,퀴클리,Immanuel Quickley,9,high
병욱,고베어,Rudy Gobert,8,high
윤범,밀러,Brandon Miller,7,high
수현,폴 조지,Paul George,7,high
수현,쿠밍가,Jonathan Kuminga,7,high
진빈,석스,Jalen Suggs,7,med
정명,제일런 그린,Jalen Green,7,high
경찬,자스주,Jabari Smith Jr.,7,med
두현,포르징기스,Kristaps Porzingis,6,high
진빈,히로,Tyler Herro,6,high
단열,매써린,Bennedict Mathurin,6,high
단열,맥다니엘스,Jaden McDaniels,6,high
지원,위긴스,Andrew Wiggins,6,high
정명,오쿵우,Onyeka Okongwu,6,high
준희,조던 풀,Jordan Poole,6,high
준희,마. 브리지스,Miles Bridges,6,med
준희,사르,Alexandre Sarr,6,high
병욱,콜리어,Isaiah Collier,6,high
두현,에이튼,Deandre Ayton,5,high
원준,엠비드,Joel Embiid,5,high
원준,캠 존슨,Cameron Johnson,5,high
원준,파월,Norman Powell,5,high
단열,크리스 폴,Chris Paul,5,high
정명,양한센,Yang Hansen,5,high
준희,잉그램,Brandon Ingram,5,high
준희,프리차드,Payton Pritchard,5,high
병욱,배럿,RJ Barrett,5,high
윤범,퍼들,Jakob Poeltl,4,med
지원,디종테,Dejounte Murray,4,high
경찬,웨어,Kel'el Ware,4,high
수현,부젤리스,Matas Buzelis,3,high
진빈,클랙스턴,Nic Claxton,3,high
단열,사이먼스,Anfernee Simons,3,high
진빈,오비 토핀,Obi Toppin,2,high
단열,바셀,Devin Vassell,2,high
경찬,카마라,Toumani Camara,2,high
수현,맥컬럼,CJ McCollum,1,high
수현,나즈 리드,Naz Reid,1,high
철웅,탐슨,Klay Thompson,1,med
진빈,쿨리발리,Bilal Coulibaly,1,high
진빈,이디,Zach Edey,1,med
원준,샤프,Shaedon Sharpe,1,high
지원,캐슬,Stephon Castle,1,high
지원,우브레,Kelly Oubre Jr.,1,high
지원,클락슨,Jordan Clarkson,1,high
정명,존 콜린스,John Collins,1,high
준희,빌,Bradley Beal,1,high
병욱,토비,Tobias Harris,1,med
경찬,아이비,Jaden Ivey,1,high
