name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
A.J. Green,MIL,SG,25,73,7,22.7,7.4,2.4,0.2,2.1,1.5,0.5,0.1,0.5,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815
A.J. Lawson,TOR,SG,24,26,2,18.7,9.1,3.3,0.8,2.5,1.2,0.5,0.2,0.6,3.1,7.3,0.421,1.3,3.9,0.327,1.7,2.4,0.683
AJ Johnson,2TM,SG,20,29,11,22.0,7.6,2.0,0.3,1.8,2.6,0.4,0.1,1.2,2.8,7.3,0.385,0.8,3.1,0.267,1.1,1.3,0.865
Aaron Gordon,DEN,PF,29,51,42,28.4,14.7,4.8,1.6,3.3,3.2,0.5,0.3,1.4,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81
Aaron Holiday,HOU,PG,28,62,3,12.8,5.5,1.3,0.2,1.0,1.3,0.3,0.2,0.6,1.9,4.3,0.437,1.2,2.9,0.398,0.5,0.7,0.829
Aaron Nesmith,IND,SF,25,45,37,24.9,12.0,4.0,0.8,3.1,1.2,0.8,0.4,0.8,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913
Aaron Wiggins,OKC,SG,26,76,26,22.9,12.0,3.9,1.1,2.8,1.8,0.8,0.2,0.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831
Adam Flagler,OKC,SG,25,37,0,5.5,1.8,0.7,0.2,0.5,0.3,0.2,0.1,0.1,0.7,2.6,0.26,0.4,1.9,0.194,0.0,0.1,0.5
Adama Sanogo,CHI,C,22,4,0,5.3,2.0,1.5,1.3,0.3,0.3,0.0,0.0,0.3,1.0,1.8,0.571,0.0,0.0,,0.0,0.0,
Adem Bona,PHI,C,21,58,11,15.6,5.8,4.2,1.6,2.6,0.5,0.4,1.2,1.1,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67
Ajay Mitchell,OKC,SG,22,36,1,16.6,6.5,1.9,0.5,1.4,1.8,0.7,0.1,0.8,2.5,5.1,0.495,0.6,1.7,0.383,0.8,1.0,0.829
Al Horford,BOS,C,38,60,42,27.7,9.0,6.2,1.3,4.8,2.1,0.6,0.9,0.8,3.3,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895
Alec Burks,MIA,SG,33,49,14,17.6,7.3,2.5,0.3,2.2,1.1,0.6,0.1,0.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776
Alex Caruso,OKC,SG,30,54,3,19.3,7.1,2.9,0.7,2.2,2.5,1.6,0.6,0.7,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824
Alex Ducas,OKC,SG,24,21,0,6.0,1.7,1.2,0.4,0.8,0.2,0.2,0.0,0.2,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.1,1.0
Alex Len,2TM,C,31,46,7,8.3,1.6,2.1,0.8,1.2,0.8,0.2,0.5,0.4,0.7,1.4,0.508,0.0,0.2,0.222,0.2,0.4,0.471
Alex Reese,2TM,PF,25,15,0,14.4,5.1,3.1,0.6,2.5,0.3,0.7,0.7,0.4,1.7,3.6,0.481,1.0,2.7,0.366,0.6,0.8,0.75
Alex Sarr,WAS,C,19,67,67,27.1,13.0,6.5,1.9,4.6,2.4,0.7,1.5,1.7,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679
Alondes Williams,DET,SG,25,1,0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,
Alperen Şengün,HOU,C,22,76,76,31.5,19.1,10.3,3.4,6.9,4.9,1.1,0.8,2.6,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692
Amen Thompson,HOU,SF,22,69,42,32.2,14.1,8.2,2.8,5.4,3.8,1.4,1.3,2.0,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684
Amir Coffey,LAC,SG,27,72,13,24.3,9.7,2.2,0.4,1.8,1.1,0.6,0.1,0.6,3.3,7.1,0.471,1.4,3.4,0.409,1.6,1.8,0.891
Andre Drummond,PHI,C,31,40,23,18.8,7.3,7.8,2.7,5.0,0.9,1.0,0.5,1.4,2.9,5.9,0.5,0.1,0.5,0.15,1.4,2.3,0.622
Andre Jackson Jr.,MIL,SG,23,67,43,14.6,3.4,2.7,1.0,1.7,1.2,0.5,0.2,0.9,1.4,2.9,0.477,0.4,1.1,0.395,0.2,0.4,0.5
Andrew Nembhard,IND,SG,25,65,65,28.9,10.0,3.3,0.5,2.8,5.0,1.2,0.2,1.7,3.8,8.3,0.458,0.8,2.7,0.291,1.7,2.1,0.794
Andrew Wiggins,2TM,SF,29,60,60,30.7,18.0,4.5,1.5,3.0,2.6,1.0,0.8,1.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763
Anfernee Simons,POR,SG,25,70,70,32.7,19.3,2.7,0.4,2.3,4.8,0.9,0.1,2.0,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902
Anthony Black,ORL,PG,21,78,10,24.2,9.4,2.9,0.7,2.3,3.1,1.1,0.6,1.8,3.4,7.9,0.423,0.8,2.5,0.318,1.9,2.5,0.761
Anthony Davis,2TM,C,31,51,51,33.5,24.7,11.6,2.6,8.9,3.5,1.2,2.2,2.2,9.2,17.8,0.516,0.7,2.4,0.282,5.6,7.2,0.775
Anthony Edwards,MIN,SG,23,79,79,36.3,27.6,5.7,0.8,4.9,4.5,1.2,0.6,3.2,9.1,20.4,0.447,4.1,10.3,0.395,5.3,6.3,0.837
Anthony Gill,WAS,PF,32,51,0,7.8,2.5,1.3,0.4,0.9,0.3,0.2,0.0,0.2,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.0,0.66
Anton Watson,NYK,SF,24,9,0,2.4,0.9,0.3,0.1,0.2,0.2,0.1,0.0,0.2,0.4,1.0,0.444,0.0,0.1,0.0,0.0,0.0,
Antonio Reeves,NOP,SG,24,44,6,15.0,6.9,1.4,0.4,1.0,0.9,0.5,0.1,0.7,2.6,5.6,0.456,1.2,2.9,0.395,0.6,0.8,0.8
Ariel Hukporti,NYK,C,22,25,1,8.7,1.9,2.0,0.6,1.5,0.4,0.0,0.6,0.8,0.8,1.2,0.677,0.0,0.0,,0.2,0.5,0.462
Armel Traoré,LAL,SF,22,9,0,7.4,1.6,1.7,0.2,1.4,0.1,0.4,0.2,0.3,0.7,2.1,0.316,0.0,0.8,0.0,0.2,0.8,0.286
Ausar Thompson,DET,SF,22,59,48,22.5,10.1,5.1,1.9,3.3,2.3,1.7,0.7,1.4,4.2,7.8,0.535,0.2,0.8,0.224,1.5,2.4,0.641
Austin Reaves,LAL,SG,26,73,73,34.9,20.2,4.5,0.8,3.7,5.8,1.1,0.3,2.4,6.5,14.2,0.46,2.7,7.3,0.377,4.4,5.0,0.877
Ayo Dosunmu,CHI,SG,25,46,26,30.3,12.3,3.5,0.6,2.9,4.5,0.9,0.4,1.5,4.8,9.8,0.492,1.3,4.1,0.328,1.3,1.7,0.785
Bam Adebayo,MIA,C,27,78,78,34.3,18.1,9.6,2.4,7.2,4.3,1.3,0.7,2.1,6.9,14.3,0.485,1.0,2.8,0.357,3.2,4.2,0.765
Baylor Scheierman,BOS,SG,24,31,2,12.4,3.6,2.1,0.6,1.5,1.1,0.5,0.1,0.4,1.3,3.5,0.355,0.8,2.6,0.317,0.3,0.4,0.75
