leaderboard,rank,player,team_or_v1,v2,v3,v4
blocks_per_game,1,Victor Wembanyama,SAS,3.1,,
blocks_per_game,2,Chet Holmgren,OKC,1.9,,
blocks_per_game,3,Jay Huff,IND,1.9,,
blocks_per_game,4,Evan Mobley,CLE,1.7,,
blocks_per_game,5,Donovan Clingan,POR,1.7,,
blocks_per_game,6,Rudy Gobert,MIN,1.6,,
blocks_per_game,7,Myles Turner,MIL,1.6,,
blocks_per_game,8,Isaiah Stewart,DET,1.6,,
blocks_per_game,9,Yves Missi,NOP,1.5,,
blocks_per_game,10,Matas Buzelis,CHI,1.5,,
blocks_per_game,11,Robert Williams III,POR,1.5,,
blocks_per_game,12,Ryan Kalkbrenner,CHA,1.5,,
blocks_per_game,13,Scottie Barnes,TOR,1.5,,
blocks_per_game,14,Neemias Queta,BOS,1.3,,
blocks_per_game,15,Derrick White,BOS,1.3,,
blocks_per_game,16,Mitchell Robinson,NYK,1.2,,
blocks_per_game,17,Brook Lopez,LAC,1.2,,
blocks_per_game,18,Adem Bona,PHI,1.2,,
blocks_per_game,19,Nic Claxton,BKN,1.1,,
blocks_per_game,20,Kel'el Ware,MIA,1.1,,
blocks_per_game,21,Alperen Sengun,HOU,1.1,,
blocks_per_game,22,Onyeka Okongwu,ATL,1.1,,
blocks_per_game,23,Andrew Wiggins,MIA,1.0,,
blocks_per_game,24,Naz Reid,MIN,1.0,,
blocks_per_game,25,Jaden McDaniels,MIN,1.0,,
steals_per_game,1,Ausar Thompson,DET,2.0,,
steals_per_game,2,Dyson Daniels,ATL,2.0,,
steals_per_game,3,Cason Wallace,OKC,1.9,,
steals_per_game,4,Kawhi Leonard,LAC,1.9,,
steals_per_game,5,Tyrese Maxey,PHI,1.9,,
steals_per_game,6,Luka Doncic,LAL,1.6,,
steals_per_game,7,Kris Dunn,LAC,1.6,,
steals_per_game,8,OG Anunoby,NYK,1.6,,
steals_per_game,9,Jordan Goodwin,PHX,1.5,,
steals_per_game,10,Amen Thompson,HOU,1.5,,
steals_per_game,11,Trey Murphy III,NOP,1.5,,
steals_per_game,12,Reed Sheppard,HOU,1.5,,
steals_per_game,13,Ryan Rollins,MIL,1.5,,
steals_per_game,14,Donovan Mitchell,CLE,1.5,,
steals_per_game,15,Cade Cunningham,DET,1.4,,
steals_per_game,16,Dru Smith,MIA,1.4,,
steals_per_game,17,VJ Edgecombe,PHI,1.4,,
steals_per_game,18,Scottie Barnes,TOR,1.4,,
steals_per_game,19,Anthony Black,ORL,1.4,,
steals_per_game,20,Nikola Jokic,DEN,1.4,,
steals_per_game,21,Marcus Smart,LAL,1.4,,
steals_per_game,22,Shai Gilgeous-Alexander,OKC,1.4,,
steals_per_game,23,Anthony Edwards,MIN,1.4,,
steals_per_game,24,Immanuel Quickley,TOR,1.3,,
steals_per_game,25,Nickeil Alexander-Walker,ATL,1.3,,
offensive_rebounds_per_game,1,Donovan Clingan,POR,4.5,,
offensive_rebounds_per_game,2,Mitchell Robinson,NYK,4.2,,
offensive_rebounds_per_game,3,Rudy Gobert,MIN,3.9,,
offensive_rebounds_per_game,4,Jalen Duren,DET,3.8,,
offensive_rebounds_per_game,5,Moussa Diabate,CHA,3.7,,
offensive_rebounds_per_game,6,Andre Drummond,PHI,3.2,,
offensive_rebounds_per_game,7,Karl-Anthony Towns,NYK,3.1,,
offensive_rebounds_per_game,8,Mark Williams,PHX,3.1,,
offensive_rebounds_per_game,9,Neemias Queta,BOS,3.0,,
offensive_rebounds_per_game,10,Alperen Sengun,HOU,3.0,,
offensive_rebounds_per_game,11,Amen Thompson,HOU,3.0,,
offensive_rebounds_per_game,12,Nikola Jokic,DEN,3.0,,
offensive_rebounds_per_game,13,Kel'el Ware,MIA,2.8,,
offensive_rebounds_per_game,14,Yves Missi,NOP,2.8,,
offensive_rebounds_per_game,15,Day'Ron Sharpe,BKN,2.8,,
offensive_rebounds_per_game,16,Jock Landale,TOT,2.7,,
offensive_rebounds_per_game,17,Luke Kornet,SAS,2.7,,
offensive_rebounds_per_game,18,Deandre Ayton,LAL,2.6,,
offensive_rebounds_per_game,19,Marvin Bagley III,TOT,2.5,,
offensive_rebounds_per_game,20,Nic Claxton,BKN,2.4,,
offensive_rebounds_per_game,21,Precious Achiuwa,SAC,2.4,,
offensive_rebounds_per_game,22,Dyson Daniels,ATL,2.4,,
offensive_rebounds_per_game,23,Ryan Kalkbrenner,CHA,2.4,,
offensive_rebounds_per_game,24,Evan Mobley,CLE,2.4,,
offensive_rebounds_per_game,25,Robert Williams III,POR,2.4,,
three_point_pct,1,Luke Kennard,47.8,1.5,3.1,
three_point_pct,2,Bobby Portis,45.6,2.0,4.4,
