player,team_2026_27,PTS,REB,OREB,AST,STL,BLK,TOV,FG%,3P%,FT%,3PM,GP,MPG
CJ McCollum,ATL,18.7,3.3,,3.9,0.8,0.5,1.8,45.5,37.5,77.2,2.5,76,29.8
Coby White,CHA,17.4,3.4,,4.0,0.5,0.1,2.6,44.6,36.2,81.7,2.3,50,
Collin Sexton,LAL,15.4,2.3,,3.3,1.1,,2.1,48.5,40.1,85.5,1.6,68,
Darius Garland,LAC,18.8,2.4,,6.7,1.0,0.2,2.9,46.0,39.6,86.1,2.7,45,29.9
Domantas Sabonis,SAC,,,,4.1,,,2.7,,,,,20,
Gary Trent Jr.,MIL,8.1,1.0,,1.2,0.5,0.0,0.6,38.7,36.0,76.9,1.9,65,21.0
Giannis Antetokounmpo,MIA,27.6,9.8,,5.4,,,3.2,,,65.0,,36,
Jalen Johnson,ATL,22.5,10.3,,7.9,1.2,,,,,,1.7,72,35.2
Jalen Williams,OKC,17.1,4.6,,5.5,1.2,0.3,1.9,48.4,29.9,83.7,0.7,33,28.4
Jaren Jackson Jr.,UTA,19.4,5.6,,2.0,1.1,1.4,,47.7,35.7,,,48,
Jerami Grant,MEM,18.6,3.5,,2.1,0.7,0.6,2.1,45.3,38.9,81.4,2.4,57,29.7
Jordan Clarkson,NYK,8.6,1.8,,1.3,0.4,,0.9,45.1,32.7,83.0,1.0,72,
Kel'el Ware,MIL,11.1,9.0,2.8,0.7,,1.1,,,,,,77,22.1
Kelly Oubre Jr.,IND,14.1,5.0,,1.6,1.4,0.5,1.4,46.7,36.0,76.6,1.7,50,31.5
Khris Middleton,WAS,10.2,3.7,,2.8,0.7,0.1,1.7,42.0,36.0,87.5,1.1,63,22.8
Luguentz Dort,ATL,8.3,3.6,,1.2,0.9,,,38.5,,,,69,26.8
Luka Doncic,LAL,33.5,7.9,,8.3,1.6,,4.0,,,,,64,
Miles Bridges,PHX,17.1,5.8,,3.2,0.6,0.4,1.4,46.0,33.3,82.2,1.9,77,31.0
Myles Turner,MIL,12.2,5.3,,1.6,,1.6,,,,,,,
Naz Reid,CHA,13.6,6.2,1.2,2.2,1.0,1.0,1.6,45.6,36.2,73.2,2.1,77,
Nikola Jokic,DEN,27.7,12.6,3.0,10.7,1.4,,3.7,,,,,65,
Paul George,BOS,17.3,5.3,,3.6,1.7,0.4,1.7,43.9,39.2,82.0,2.7,37,30.0
Quentin Grimes,LAL,13.4,3.6,,3.3,0.9,0.4,1.8,45.0,33.4,84.0,1.7,75,29.4
Reed Sheppard,HOU,13.5,2.9,,3.4,1.5,,,43.0,39.4,80.2,,,
Scoot Henderson,POR,14.2,2.7,,3.7,0.9,0.3,2.4,41.8,35.2,84.0,1.9,30,24.9
Scottie Barnes,TOR,18.1,7.5,,5.9,1.4,1.5,,50.7,,,,80,33.5
Shaedon Sharpe,POR,20.8,4.3,,2.6,1.4,0.1,2.9,45.2,33.7,78.7,2.1,50,
Shai Gilgeous-Alexander,OKC,27.6,2.9,,7.9,1.3,,,55.1,,89.2,,,
Tobias Harris,SAS,13.3,5.1,,2.5,0.9,0.4,1.0,46.9,36.8,86.6,1.3,63,27.7
Toumani Camara,POR,13.1,5.4,,2.6,1.0,,,,,,2.6,,31.2
Tyler Herro,MIL,20.5,4.8,,4.1,0.7,0.4,1.9,48.0,37.8,91.7,2.5,33,31.0
Tyrese Haliburton (2024-25),IND,18.6,3.5,,9.2,1.4,,1.6,,,,,73,
Victor Wembanyama,SAS,25.0,11.5,,3.1,1.0,3.1,,,,,,64,
Zaccharie Risacher,DAL,9.6,3.8,,1.1,0.9,0.5,0.9,45.5,36.8,64.4,1.4,67,22.4
