player,team_2026_27,verified_2025_26_stat,resolution,status
DeMar DeRozan,GSW,FT% 86.8% · A/T 3.42 (4.1A/1.2TO),"해소 — DB 추가 ($16, 매수 타겟)",해소
Cameron Johnson,DEN,3PT% 43.0% (2.0×3P / 4.7×3PA),해소 — DB 추가 ($10),해소
Zach LaVine,SAC,FT% 88.0%,"해소 — DB 추가 ($12, 획득 불가 판정)",해소
Kevin Porter Jr.,MIL,FT% 87.8%,해소 — DB 추가 ($4),해소
Bub Carrington,WAS(재확인 권장),3PT% 40.8% (2.1×3P / 5.0×3PA),해소 — DB 추가 ($5),해소
Svi Mykhailiuk,미확인,3PT% 40.8% (2.0×3P / 4.8×3PA),"해소 — DB 추가 ($3), 소속 미확인",부분
Ja'Kobe Walter,TOR(재확인 권장),3PT% 40.9% (1.5×3P / 3.7×3PA),해소 — DB 추가 ($3),해소
Marvin Bagley III,DEN,OREB 2.5,이미 DB에 있었음 (표기 대조 오류),해소
Jrue Holiday,POR,A/T 2.18 (6.1A/2.8TO),해소 — DB 추가 ($6),해소
Russell Westbrook,미확인,A/T 2.03 (6.7A/3.3TO),"해소 — DB 추가 ($4), 소속 미확인",부분
Jusuf Nurkic,UTA,A/T 1.92 (4.8A/2.5TO),해소 — DB 추가 ($5),해소
Dejounte Murray,NOP,A/T 1.88 (6.4A/3.4TO),해소 — DB 추가 ($8),해소
Damian Lillard,POR,2025-26 전체 결장(아킬레스) — 실측 없음,"신규 발견 누락 → DB 추가 ($14, 획득 불가 판정)",해소
